nortext,engtext,norlocation,norbrand,normodel,engbrand,engmodel,engkeyword
"Nike free 5.0, str:38, brukt 3 ganger inne",grey and pink mesh nike athletic sneaker,,Nike,free 5.0,nike,,athletic sneaker
Pro 2 Steel Rotor Body 8/9 Hope. Er helt ny kjøpte feil.,hope tech pro 2 steel rotor body 89,,Hope,Pro 2 Steel Rotor Body 8/9,hope,pro 2 steel rotor body 89,rotor body
"Sko fra Rizzo i mykt skinn, str 37. Brukt en gang",heeled brown leather lace up boots,,Rizzo,,,,boots
Mørk lilla fra Acne Jeans str xs,black button up v-neck long sleeved shirt,,Acne Jeans,,,,long sleeved shirt
Dvd'er selges. 30kr pr stk,transformers dvd,,,,,,dvd
"Craft ny ubrukt hvit lue m/lapp på. Str S/M. Nypris: 199,-",white sport 1 storgata craft cap,,Craft,,craft,sport 1 storgata,cap
"Herrefrakk fra Michael Kors str 42R (tilsvarer Large) kr.399,- #fretexfunn #engangtil #merkeklær #michaelkors #snapsale",black michael kors blazer,,Michael Kors,,michael kors,,blazer
Zara kjole i viscose/ull 24-36 mns,grey and black plaid crew neck cap sleeve shirt with bows,,Zara,,,,shirt
"Renault Megane 98, mod selges for 15.000 inkl årets årsavgift. 220.000 km. EU godkj oktober 2014. Skiftet reg reim 190 000. Fulgt servicer og kvitteringer ligger ved. Romslig og kjempebra familiebil. Ta kontakt på tlf 47 99 47 45",blue and grey renault suv,,Renault,Megane,renault,,suv
Nye Toms stoffsko i str 42,red and white one for one canvas shoe,,Toms,,,,shoe
"Sko fra Bianco/ Din sko. 38. Et par 200,- eller alle 500,-",black leather smoking loafer shoe,,Bianco,,,,shoe
Ralph Lauren jakke str24 mnd. Ubrukt ,girl's pink quilted pufff jacket,,Ralph Lauren,,,,pufff jacket
Grepa komfyr selges. Må hentes i Hommelvik.,white kitchen range,Hommelvik,Grepa,,,,kitchen range
Hemnes vitrineskap selges ,white wood and clear glass china hutch,,,Hemnes,,,china hutch
Toalettmappe fra Mathilde M serien. Helt ny! ,cherubs print grey textilee,,,Mathilde M,,,textilee
"Bugaboo fotpose, pent brukt. Nypris 1.149,-",purple sleeping bag,,Bugaboo,,,,sleeping bag
"25 par sokker selges, kjøper betaler frakt!",arena  black snap sock size 40-45,,,,arena,,sock
MK Clutch med rom for iPhone 5. Plass til kort og sedler. ,michael kors black silver rectangular clutch purse with silver hardware,,MK,,michael kors,,clutch
Skjørt fra Jeane Blush. Størrelsen small,pink sequin pattern skirt,,Jeane Blush,,,,skirt
New crop top,white and gray tank top,,,,,,tank top
Kjole m/ hvite polka dots fra Lindex. Str. xs. Jerseystoff,black dress,,Lindex,,,,dress
Chihuahuavalper reg. i NKK med stamtavle osv selges!,white short-coated chihuahuas,,,,,,chihuahuas
Converse All Star str 43 sneakers sko høye herre herresko,black and white crossword puzzle print high top sneakers,,Converse,All Star,,,high top sneakers
The Bridge veske herreveske dokumentmaler pc-veske pen,red leather rectangular briefcase,,The Bridge,,,,briefcase
"Kule ""Vansaktige"" DC-sko (str. 45,5).",white and black plaid slip on shoes,,DC,,,,slip on shoes
Bjørn Dæhlie treningsjakke .str lady M,blue and grey b zippered jacket,,Bjørn Dæhlie,,,,zippered jacket
"Selger min iPhone 5, fint brukt og nytt batteri i fjor. ",black iphone 5,,,iPhone 5,,iphone 5,iphone
"Herrebukse Giorgio Armani, str 34. For de som gidder å sy.",giorgio armani tan pants,,Giorgio Armani,,giorgio armani,,pants
"Friis håndveske, mykt skinn,råe detaljer!  Brukt max 3gang",black leather handbag,,Friis,,,,handbag
"Nexus 5, 32GB Black only 6 mnths used.",black android smartphone,,,Nexus 5,,,android smartphone
