nortext,engtext,norlocation,norbrand,normodel,engbrand,engmodel,engkeyword,brand,model
KONSOLLBORD - H85 B 65 D 34,brown wooden table,,,,,,table,,
Merrell innetreningssko str 37. Fint brukt. ,purple and yellow merrell athletic shoes,,Merrell,,merrell,,athletic shoes,Merrell,
"Ray Bans Aviator, green classic m gull, svært pent brukt",gray framed ray ban aviator style sunglasses,,Ray Bans,Aviator,ray ban,,sunglasses,Ray Bans,Aviator
Veske fra Bjørn Borg selges. ,bjour borey black and white purse,,Bjørn Borg,,,,purse,Bjørn Borg,
Lite pengepung i skinn fra Mango (10x10 cm). Ubrukt!,black leather coin purse,,Mango,,,,coin purse,Mango,
EKORNES 3 seter skinnsofa m/sjeselong og nakkestøtte. 3 år,cream leather sofa sectional,,EKORNES,,,,leather sofa,EKORNES,
Leux deux genser xs ,women's grey coat,,Leux deux,,,,coat,Leux deux,
Mørk lilla fra Acne Jeans str xs,black button up v-neck long sleeved shirt,,Acne Jeans,,,,long sleeved shirt,Acne Jeans,
Gaustatoppen skalljakke fra Bergans str. M. Lite brukt.,coral nylon zip rain jacket,,Bergans,Gaustatoppen,,,rain jacket,Bergans,Gaustatoppen
Ralph Laurent jakke. Str S. Fremstår som ny. ,red zippered bubble quilted jacket,,Ralph Laurent,,,,jacket,Ralph Laurent,
"Bil-lader til Sony Ericson! HHolder til på Kapp, Østre T)",black electronic cable,"Kapp, Østre T",Sony Ericson,,,,electronic cable,Sony Ericson,
Land yachtz longboard lite brukt,brown and orange long board,,Land yachtz,,,,board,Land yachtz,
Asics.str42.brukt1gang.for små.kr800.kansendes imot bet. ,yellow pink  purple orange and blue asics sports shoes with abstract animal print,,Asics,,asics,,sports shoes,Asics,
Pumps fra Jeffrey Campbell. Str 38. ,women's high heeled shoe,,Jeffrey Campbell,,,,shoe,Jeffrey Campbell,
"Nokia 1020, brukt. Fungerer så godt som ny, original eske",nokia lumia 102,,Nokia,1020,nokia ,lumia 102,,Nokia,1020
"Polo RL strikkejakke, 12 mnd og piquee 18 mnd",red ralph lauren polo shirt,,RL,,ralph lauren,,shirt,RL,
Sort penkjole. Pent brukt. Størrelse 34. Vere Moda,women's black strapless dress withe sequin belt,,Vere Moda,,,,belt,Vere Moda,
Genser fra carlings. Str L,white and black striped knit sweater,,carlings,,,,sweater,carlings,
Pomp de Lux genser med hette - pent brukt str 110/116,black Hoodie,,Pomp de Lux,,,,Hoodie,Pomp de Lux,
Lekker kate moss for topshop kjole. Sort. Brukt en gang,women's black crinkle tonal sequin accent sheer blousy v-neck tank top,,kate moss for topshop,,,,top,kate moss for topshop,
Vår jakke fra Stene r . Størrelse  ca 46 ,red button down long sleeves polo,,Stene,,,,,Stene,
Perlesmykke (aldri brukt) hentes i oslo/akershus område,white pearl chunky necklace,oslo/akershus,,,,,necklace,,
Benetton blå pen bukse . Str SM. Passer gutt 5/6 år,black denim jeans,,Benetton,,,,jeans,Benetton,
