Turkis topp fra Urban Outfitters str small,,Urban Outfitters,
"Sko fra Rizzo i mykt skinn, str 37. Brukt en gang",,Rizzo,
Mørk lilla fra Acne Jeans str xs,,Acne Jeans,
Strøkent 2 år gammelt Roland piano selges da det dessverre ikke blir brukt . Kjøpt på 4sound. Se info om pianoet på bildene ( de er fra 4sound sin nettside ). Mp 7000kr. Randaberg,Randaberg,Roland,
"Herrefrakk fra Michael Kors str 42R (tilsvarer Large) kr.399,- #fretexfunn #engangtil #merkeklær #michaelkors #snapsale",,Michael Kors,
Zara kjole i viscose/ull 24-36 mns,,Zara,
"300kr, kan hentes i Uggdal. Lader følger med,  så du treng berre iPhone eller ein Android-telefon for å fly 😊",Uggdal,,
"Rossignol slalomstøvler str 26.5, pent brukt",,Rossignol,
Til Salgs FENDI jakke rosa str 38 kjøpt i London og brukt veldig lite. Selges fordi jeg bruke den aldri. Pris 2000kr,,FENDI,
"Bugaboo fotpose, pent brukt. Nypris 1.149,-",,Bugaboo,
"6 jakker og 2 regnbukser, gutt 6/7 år. Selges samlet for 200 kr. Hentes på Spikkestad",Spikkestad,,
"Dayton vinterdekk med original Audi aluminiums-felg selges. Dekkene er kjørt knapt to måneder, så god som nye.  Boltsirkel 5x112         Selges hbo. 2000,-",,Dayton,
Svart blondebody fra Bik Bok. Str. M. Lite brukt. ,,Bik Bok,
"Actila tredemølle selges h.b.o 2000kr       Tredemølla har en maxfart på 18km/t       Kaloriteller, puls og distanse måler       Kjøpt ny i 2010 for 5990kr (lite brukt)",,Actila,
Bjørn Dæhlie treningsjakke .str lady M,,Bjørn Dæhlie,
"Utegruppe... Bord og fire stoler selges 500, -. Hentes raskt da jeg ikke har plass. Hokksund        ops! Ingen budrunde.....",Hokksund,,
Som ny Reimatec parkdress str 104,,Reimatec,
70 talls Leslie for gitar...funker bra....litt modifisert.,,Leslie,
WRANGLER herre dongeriskjorte. Str. S. Pent brukt. ,,WRANGLER,
"2 sacco-sekker (en dongeri og en sort ""skinn"") selges hbo 100,- pr. stk. Hernes.",Hernes,,
50kr. Hentes på Lura,Lura,,
MK Handbag. New arrival.. Whatsapp : 016-2513556,,MK,
Swims hvite str 37,,Swims,
86 litt 92 . 4 hette jakker. 3 tunika. 1 skjørt. 6 gensere. 3 cardigan 1 ull body. Hbo 50.  Flakstad,Flakstad,,
"Jakke fra vero Moda str 36. Hbo 50,-",,vero Moda,
Veske fra mango selges! Neste ikke brukt :) ,,mango,
"Bluse fra vero Moda str xs/s (stor str,mer en m) hbo 30,-",,vero Moda,
Tulipan-topp fra Vero Moda. str.m. Svært pent brukt ,,Vero Moda,
"Karcher Terrassevasker, bare testet.",,Karcher,
"Kari Traa fleecejakke str. 12 (barn) selges hbo kr. 75,-.       Småby, Hamar.","Småby, Hamar",Kari Traa,
"Ubrukt kjole fra FindersKeepers. Farge: hvit, str: M ",,FindersKeepers,
Ny Hylle fra Housedoctor selges kr 500,,Housedoctor,
Blackdesigne selges sammlet kr 150,,Blackdesigne,
Superkule oversized solbriller. Hentes i oslo/akershus,oslo/akershus,,
Hummel t-shorte str 74,,Hummel,
Objektivdeksel fra Hama. Aldri brukt,,Hama,
H&M str XS lite brukt,,H&M,
"Helt ny Tory burch veske. Den er helt rød, ikke rosa",,Tory burch,
Skinnjakke fra Free People. Størrelse 10,,Free People,
Blomsterkassa håndlaget.       Pris:399kr.       Raufoss,Raufoss,,
Sminkepung/clutch i canvas fra By Malene Birger,,By Malene Birger,
"Emu støvler ,brukt 2 ganger. Selges på grunn av str 40/41.",,Emu,
"Sofabord i glass fra Bohus. Pent brukt. Ordinær pris 1499,",,Bohus,
"Svart topp, for 158-164 cm, by Lindex.",,Lindex,
"Shemademe strikket bikini underdel, str M/L. Også i sort",,Shemademe,
Nydelig silkekjole fra Diane von Fürstenberg. Str 38. ,,Diane von Fürstenberg,
Ubrukt kjole fra Little Mistress. Uk 8. Tilsvarer str. Xs,,Little Mistress,
BEBE bodycon kjole. Str. S. Ubrukt. Org.pris: 990kr. ,,BEBE,
4 stk Questbar med chocolate chunk smak. Best før 22.08.15,,Questbar,
Kåpe med ull blanding fra next i str 7/8,,next,
"Kjole fra Designers Remix. Brukt en gang, str 36.",,Designers Remix,
Pent brukt stellebord til dyr selges. Hentes i Harstad,Harstad,,
"Boots fra Nelly str 37. Aldri brukt. 100,-",,Nelly,
"1.5 farads dynabel kondensator selges HBO 100,-        Holder til i Aurskog men kan også hentes i Oslo/Drammen. Sender ikke.",Aurskog,,
Lite brukt genser fra Moss Copenhagen str. M. ,,Moss Copenhagen,
"Uggs , tåler vann og snø. Brukte",,Uggs,
BEHA oljefyrt radiator.        HBO 50 kr.        Auksjonen står i 6 timer etter første bud.,,BEHA,
"Zara kids , fin anorakk i str. 18 mnd . Som ny . 175,- ",,Zara,
"Samsoe st 37, nypris 1200. S for 300. Brukt en gang",,Samsoe,
"Søs Jensen, str:M, foret regnjakke, lite brukt",,Søs Jensen,
Hvit blazer str 36. Merke Koton. Flott til 18.mai! Oslo S,Oslo S,Koton,
Jakke til dame fra VA VITE i str. 36. Aldri brukt,,VA VITE,
Polo RL jakke og piquee str 18 mnd,,Polo RL,
Kule solbriller selges. Bruker de ikke! Oslo/akershus,Oslo/akershus,,
"College jakke i ull! Fin passform! Small, ull fra Zara pen",,Zara,
Bape size M,,Bape,
Britax bakovervendt bilsete fra 0-25 kg.        1000 kr. Aldri vært utsatt for kollisjon. Brukt til 2 barn.       Send pm eller ring!,,Britax,
Acupuncture US 8,,Acupuncture,
"Lite brukt Bula fleecegenser, str.M/L, selges kr.100",,Bula,
Selger frys for 500kr.       Ny i 2012 og ny pris var 2300kr.        Strøken og fin.        Må hentes ved maxbo på ilebrekke fredag eller lørdag denne uka.,ilebrekke,,
Genser fra project AJ117 str. M. Brukt en gang. ,,project AJ117,
"Str xs fra bikbok. Vil heller si den er en stor s/liten m. Hbo 30,-",,bikbok,
Nye og ekte Converse sko i følgende str: 38-40-42 og 43,,Converse,
Logitec 5.1 soroundsystem,,Logitec,
Teleskop speil til salgs i kabelvåg.        HBO 40.-,kabelvåg,,
MBMJ veske selges.. Lite brukt med dustbag.. Kan sendes! ,,MBMJ,
Fingerbrett stunts! Selges billig pga. Ingen bruk(Sandnes),Sandnes,,
"Flott og robust stumtjener selges 200,-.        Den er lysere enn på bildene.        Kan skrues fra hverandre ved frakt.        Revetal.",Revetal,,
"2 poser med store lego figurer selges hb over 50kr, for begge to. Se bildet. Disse er helt ny. Hentes i sørreisa.",sørreisa,,
6 SportSokker til salgs  Damer:36-40 menn 41-46  Salva Ny,,Salva,
Kjole fra Guess by Marciano str 36,,Guess by Marciano,
"3 9"" tusnmetringa med skiltbrakett selges 500,-. Lyse bra og brettj       Ligg i flatanger i nord trøndelag",flatanger,,
"Fersk fra butikk.        800,- ved henting i dag.        Eina sentrum.        http://www.elkjop.no/product/tv-lyd-og-bilde/radio-og-klokkeradio/SJUTBL14E/juice-time-barbar-radio-sjutbl14e-sort",Eina,,
EZY dog sele til hund 10-20kg. Nypris 400kr ,,EZY dog,
Aldo. Str40. Som ny. For små for meg. Ny pris 800. Øns.400,,Aldo,
Svart Marc by Marc Jakobs polstra pcveske. Helt ny. ,,Marc by Marc Jakobs,
"Rammemadrass  bredde 150 selges. (Dream zone ) Ny sommer 2014. Har stått på gjesterom minimalt brukt. Høystbydende over kr 1500,-",,Dream zone,
"Selges 500,- brukt 5 ganger.       Hålandsmarka på Ræge ☺",Hålandsmarka,,
"Yosemite  sykkel selges 26"" pent brukt  og  veldig  lite  fra mer en et år samle støv,  ikke  noe  feil  med  hbo 400,-.  Holder til på Nesbyen.",Nesbyen,Yosemite,
Sett med genser og skjørt fra vila. Str. M. Brukt en gang,,vila,
8 meters subwoofer kabel RCA til XLR. Van Damme cables. ,,Van Damme,
Nye bronx sko str 39. Bare prøvd inne.,,bronx,
10 ubrukte dørknotter (kun tatt av plasten på den ene for å vise kordan den ser ut) selges h.b.o 150kr. Befinn sæ i sørreisa.,sørreisa,,
"Lene Orvik cropped topp,str S.Selges hbo 400kr💕",,Lene Orvik,
Hei!        Selger helt orginale ralph lauren pique. Custom.       Selges for 2-400 avhengig av mengde .Helt nye og helt orginale ! Orginale usa tags medfølger. Ta kontakt på 99556331 ved interesse. Har har de fleste strls.        Om det er noen som lurer på hvorfor jeg har så mange er det at jeg av og til får tak i konkursbo varer fra europa rundt omkring og USA. Se bilder og ta kontakt!!,,ralph lauren,
"Cheap Monday high waist bukser ""Tight ice wash"" str. 28/32",,Cheap Monday,
"MC boots , falko,str 38 og 44",,falko,
"Ralph Lauren skjorte med puffermer. Str 2, tilsvarer XS",,Ralph Lauren,
"Alpina skisko str 36. Brukt 1 gang selges hbo 100,-",,Alpina,
Philosophy blues original dressjakke small pris 500.-,,Philosophy blues original,
Second female topp str xs ( passer også en s) ,,Second female,
Magetopp fra Forever21 str S/P,,Forever21,
Ubrukt trench coat fra Juicy Couture selges til 400 kr.,,Juicy Couture,
"Nesten ubrukt skjorte fra Ralph Lauren str 4, passer S",,Ralph Lauren,
"Norheim allværsjakke. Str 38. Hbo 200,-",,Norheim,
"Lekre skoletter fra Ecco, str 38. Lite brukt. Nypris: 1599",,Ecco,
MARC by MARC JACOBS solbriller. Meget pent og lite brukt!,,MARC,
100% authentic True Religion Trainers size 8 ,,True Religion,
"Håndskåren, Hjemmelagd og unik baby krybbe selges mp 900,-med madrass       Hentes på Tangvall i Søgne",Tangvall i Søgne,,
"Bjørn Dæhlie skidress str 10 år selges hbo 100, -.        Som ny.",,Bjørn Dæhlie,
Nytt pledd i bomull! Åhlens,,Åhlens,
Lacoste nylon anorakk,,Lacoste,
College jakke fra Forever21 str s/p,,Forever21,
"Samsung LED 40"" selges rimelig ",,Samsung,
"8 stk. Maling, 20 kg. Pr. Bøtte, selges for 1500 kr. Alt sammen, åssiden, drammen",drammen,,
Michael kors veske. Nypris 3900. ,,Michael kors,
Pomp delux kjole str 98. Hbo 150,,Pomp delux,
Gant body str 68,,Gant,
Stretsh bukse DG str xs/s kr 250,,DG,
Poncho fra Bik Bok. Som Angelica Blick. ,,Bik Bok,
"Dressjakke L selges i Nydalen, Oslo","Nydalen, Oslo",,
"Juicy Couture Toalettmappe m/ speil, pent brukt",,Juicy Couture,
Helt ny kjole fra Bikbok str M. Aldri brukt. ,,Bikbok,
"Nelly, S, ubrukt m/lapp",,Nelly,
"Fin hverdagskjole fra Indiska strls M, aldri brukt.",,Indiska,
"Ubrukt Brandsdal anorakk str XL(liten I str) selges hbo 250,-",,Brandsdal,
Felger mæ bra dekk tæll BMW med 205-55-r16        5'120       Ønsker 1500kr for disse men kom med bud :)        En sprekk ved ene felgen        Oppland / Raufoss,Oppland / Raufoss,,
T-skjorte fra Gina tricot strl XS,,Gina tricot,
En lite brukt pc-veske fra Bershka. Liten lomme på innside,,Bershka,
"Dress travelsuit super 120 ull bertoni str 48, før pris 4k",,bertoni,
Ammepute selges for kr 50. Hentes fra Søndre Nordstrand eller sendes mot porto,Søndre Nordstrand,,
Nydelig ubrukt tunika fra Boheme str 5,,Boheme,
Nydelig kjole fra Acne. Brukt en gang. Str XS-S. ,,Acne,
12 kopper med fat 1200kr hentes Hommersåk,Hommersåk,,
Langrennsski Frost Madshus 130 cm,,Madshus,
Ubrukt Steve Madden veske førpris kr 850,,Steve Madden,
Ubrukte sko fra Ganni. Str 38,,Ganni,
"Mustangen 66 HT,  tolla, alle papir ok.  Har panser, koffert lokk, bakplate for GT utgave der eksosen skal gå igjennom , ny baklykteplate, komplett forstilling,bakaksel, gode bremser, komplett interiør som må trekkes om, 4 originalfelger med hjulkapsler, bensintank, skjermer. Dørene bør skiftes da de er dårlige.       Har det meste til bilen bortsett fra motor , girkasse, eksos og frontrute. Selges kr 35000,-       Står i Ålesund.",Ålesund,Mustangen,
"Urbanears headset. Brun farge, lite brukt. ",,Urbanears,
Ullgenser fra Acne. Str XS. ,,Acne,
Metro Redux for Xbox One selges til hbo 100kr. Fungerer som det skal.        Sortland.,Sortland,,
"Bokhylle/reol selges hbo 50,- hentes på Bøstad😊",Bøstad,,
"150kr samlet, hentes i Askim",Askim,,
"Sandstrøm veggfeste       500 kr — 1407 Vinterbro (Tusenfryd)       Veggfeste for TV opp til 35 kg selges. ( 26"" - 62"")       Veggfeste som kan vippes.       VESA: 200x100 200x200 400x200 400x300 400x400 mm       SAMSUNG SONY LG PHILIPS PANASONIC... og mer",Vinterbro,Sandstrøm,
"Juicy Couture jakke str L , helt vanlig foran",,Juicy Couture,
Pen vinterjakke fra Risøe. Str. 14,,Risøe,
       Rimelig :Meget pen lys  grå Frislid dress str xx-smal ,,Frislid,
Ny ubrukt bukse fra Mango str 38 ,,Mango,
ALEXANDER WANG veske m bronse detaljer. Som ny ,,ALEXANDER WANG,
Svart juicy couture bukse str 8 år. Lite brukt,,juicy couture,
Ralph Laurent jakke. Str S. Fremstår som ny. ,,Ralph Laurent,
"Juicy Couture lommebok, pent brukt",,Juicy Couture,
Ganni sko. Str 38 - ubrukte,,Ganni,
"FOREVER 21 (litt) kort ""mage""genser. Str. S. Pent brukt.",,FOREVER 21,
"4 stk alufelger med boltsirkel 5x108 med slitte sommerdekk,selges bud over 1200,-         må hentes!        bodø",bodø,,
Merke: bikbok        Størrelse: XS       ,,bikbok,
Nye myke beige / nude sko i semsket skinn. H&M str 39,,H&M,
"Cytec spinningsko, størrelse 39, lite brukt! ",,Cytec,
HEADSETT WESC. GODT BRUKT MED MYE GOD MUSIKK I SOMMER 14 ,,WESC,
Ny fotsid kjole fra Line of Oslo. Str S-L. #snapsale,,Line of Oslo,
"Hvitt top, for 13 år, 158 cm, av cubus, brukt 1 gang.",,cubus,
Blondetopp fra berska. Størrelse S. Nesten ubrukt. ,,berska,
"Brudekjole,tube,Str 34,Madeline Gardner,Helt fantastisk!",,Madeline Gardner,
Ny Ralph Lauren genser i bomull,,Ralph Lauren,
"Grå bomullsblazer fra bertoni small før pris 2300,-",,bertoni,
Ny mellomstor Kardashian veske.,,Kardashian,
Genser fra Remain. Str M. ,,Remain,
Polo Ralph Lauren jakke anorakk str M herre lite brukt,,Polo Ralph Lauren,
Mulberry ,,Mulberry,
Gucci ballerina sko. Str. 38 ,,Gucci,
Alfa fjellsko Str 31 - Ubrukt til salgs..,,Alfa,
"Guttesykkel,Merida....passer en 10 åring ca.. Trenger en servise og luft i dekkene. Selges hbo. 200,-",,Merida,
Zara bag for men. Kjøpt for ca 9 mnd siden. Pen brukt,,Zara,
Lampe fra IKEA,,IKEA,
Madshus ski klassisk 140 cm langrenn NNN binding 5-7 år,,Madshus,
"Såpe fra lucky Duck, helt ny, kjøpt :39kr ",,lucky Duck,
19 pent brukte PS3 selges samlet hbo 200kr        Elverum,Elverum,,
Sykkelsko. Sidi. 46. Ubrukte. Oslo,,Sidi,
"Dekk til salgs, to nye og to brukte står på allufelger  195/65/15 , 5X112 passer til.golf,passat,audi kr.2500, befiner seg i Elverum",Elverum,,
2 stk bilstoler fra Concord til salgs. 15-36 kg. Må hentes,,Concord,
"Ecco sko str.35! (nypris:599,-) (Kapp, Østre Toten)","Kapp, Østre Toten",Ecco,
"Andungen dundyne str 80*100. Like fin, selges for 200,-",,Andungen,
2stk. Bilder selges h.b.o.  50kr.  Str. 34/34.  Steinkjer sentrum.,Steinkjer,,
forsterker til salg. hbo 300. til fredag kl 15:00 . ny pris rundt 3000 kr. befinner seg på Raufoss,Raufoss,,
"Rød kjole fra Jeane Blush, XS. 1 år, ubrukt.",,Jeane Blush,
"2me trille selgest hbo 300,-. Kjøpt ny i januar for 999,- på baby comfort. Har kvitering",,2me,
"""HOCO"" barnevogn selges hbo 500,-",,HOCO,
Armbånd av merke cristalina billig 4 stk 1000kr elr 250stk,,cristalina,
Ubrukt zara man jakke størrelse 56. Nypris 99.95€.,,zara,
"Hagemøbelsett med sort glassbord (140x80) og 4 gode stoler.       Settet er pent brukt, kjøpt nytt på plantasjen for 2995,- Oppbevart inne på vinteren. Står i Skiptvet. Hbo 1500. Kan få med 4 puter",Skiptvet,,
Kjole fra Nelly str S.,,Nelly,
"Pult & stol, må hentes i Olsvik. Bud ønskes ",Olsvik,,
"Svart Michael Kors Skinnveske. Ubetydelig brukt, som ny.",,Michael Kors,
"2sett vår/regnsett et lilla og et rosa, bukser str 134/140 og jakker str 146/152 hbo 125.-  bud på 125 på Åsnes siden",Åsnes,,
Chipsbolle og godteriskål fra Black designe ,,Black designe ,
"Barbord + 4 barstoler (hvit, avtagbart trekk) IKEA ",,IKEA,
Dilligaf klokke billig. Bare å komme med bud.❤️👌,,Dilligaf,
"21 fot Comet Snekke selges. Lakert innvendig, topp stand",,Comet,
"Sko fra Geox, brukt 2 ganger",,Geox,
"Nydelig, ubrukt Calvin Klein #jakke strM/med merkelapp på",,Calvin Klein,
Air hockey spill og 2 Ikea seng (80x200 cm) som man kan montere til en stor seng (160×200 cm). Spill og seng har her og der litt slitasje men er bra nok for bruk.         Hbo 1 kr.       Alt skal hentes i nærheten av Sokna.,Sokna,,
"4 Zomar dekk på felger selges kr 1500,Kun kjørt på ca 1 mnd.Dimensjon:205/55/16.",,Zomar,
Kenwood! 600 kr.,,Kenwood,
"Superfin Gucci lommebok. Ny pris kr. 4000,- kjøpt i Milano",,Gucci,
Kjole fra Mini Market str M,,Mini Market,
Levis olavest. Fint brukt. ,,Levis,
Bergans jakke. Str. M. ,,Bergans,
Jakke fra Barbour til dame i str. S.   Kun brukt en gang,,Barbour,
"Lite og pent brukt Norheim skalljakke, str.40, selges hbo.kr.100",,Norheim,
"Parajumper genser i large før pris over 2000,-",,Parajumper,
Bullfighter. Str L. Sort. Knebeskytter. ,,Bullfighter,
Fresh nesten ubrukt Ganni-kåpe Str xs ,,Ganni,
Deksel fra Marc Jacobs selges.,,Marc Jacobs,
Plain genser fra cubus str s,,cubus,
"Sko ""Nelly"", aldri brukt, str 39",,Nelly,
Nydelig pastellgrønt SMEG kjøleskap! 2 år gammelt. H:179cm,,SMEG,
Festsko fra Bianco selges hbo 20 kr! Str. 39.,,Bianco,
"Rosa baggyluer til små prinsesser selges kr. 150. Ølvotter strikket i mykt ptdesign-garn. 100% ull, selges kr. 150. To brusvotter til barn i cortinagarn, 100% ull selges kr 50. Et kylling sitteunderlag selges kr. 100. Sitteunderlaget er brukt en gang. Alt annet er nytt. Bor på Hommersåk, men kan treffes i Sandnes. Send pm ved interesse :)",Hommersåk,,
"Kåpe fra Gina tricot str 34. Pent brukt. 100,-",,Gina tricot,
"Timberland Sandaler str.36! (nypris: 349,-) (Kapp, Østre)","Kapp, Østre",Timberland,
12 stk krystall champagne glass       9 stk krystall shot glass selges. Vet ikke hvilken pris eg kan få men tror 1stk champagne glass kosta 298.- Hommersåk :),Hommersåk,,
"Victorias secret bikinioverdel, str M, UBRUKT, mintgrønn",,Victorias secret,
Maharishi hoodie size M,,Maharishi,
"Selger headset, gaming tastatur (cmstorm) og en gaming mus",,cmstorm,
Decadent clutch/ make up bag ,,Decadent,
Avent. Melkefanger og beskytter såre brystvorter. Som ny.,,Avent,
Regndress str 92 og klespakke til gutt 2 år hbo 150 kr. Sørumsand,Sørumsand,,
"Pent brukt Stonz. Mener det er str M (6-18 mnd) Hbo 50,-",,Stonz,
"Juicy Couture jakke strS, helt vanlig foran",,Juicy Couture,
"Denne sofaen selges ca 500,- den er pent brukt, men vi har katt og hund, så kanskje ikke noe for allergikerejQuery172041488228272646666_1427198460453 Må hentes på Grålum! Ta kontakt på pm",Grålum,,
"Polo RL strikkejakke, 12 mnd og piquee 18 mnd",,Polo RL,
Nydelig grå kjole fra culture str M.        Brukt en gang. ,,culture,
Superga blonde sneakers str 38. Aldri brukt,,Superga,
Bade speil. Kjøpt fra Mega flis på Hamar. Helt ny.Hbo 200 kr.,Hamar,,
Jeg selger disse pent og elegant Lv skoene pris 850.-,,Lv,
Fornarina bukse str. 31. Sleges pga. For stor.,,Fornarina,
Dun/boblevest fra merket HV POlO str M ,,HV POlO,
Billa bong flipflopper str. 37-38 pent brukte ,,Billa bong,
Bukse og jakke Adidas. Størlse xl. Hbo 150 kr,,Adidas,
"Victoria secret bikini, størrelse 36D US, push effekt ",,Victoria secret,
"109 år gammel klokke laget av Marcus Savosnick.  Selges høystbydende over 1000,- Høyde 140 cm",,Marcus Savosnick,
Neglelakk fra Elle. Ikke brukt,,Elle,
"Donald Duck Nr. 8 1969, selges for 35 kr + porto.       Sendes med posten fra Hunndalen.",Hunndalen,,
"Skinnjakke str 44, lite brukt. Selges hbo 100,- bud til i morgen 26/3 kl 21 (Elverum)",Elverum,,
